Band_code,Band_num,WL_code,WL_num,Pval_cat,nSIM,K_obs,K_pval,K_sim_mean,K_sim_SD,K_sim_SES,K_BM_pval,K_BM_mean,K_BM_SD,K_BM_SES,species,extra_y,Blomberg's K
band160_1178nm,band160,1178nm,1178,diff,1000,0.16346774320910767,0.001,0.03715853264549498,0.01245592025353392,10.140496084805694,0.00199800199800199,1.0264861056955414,0.8031329362510115,-1.0745647744381706,diff,0.15,0.16346774320910767
band161_1183nm,band161,1183nm,1183,diff,1000,0.1644393365065019,0.001,0.03715717809419974,0.01269667921789636,10.024838481616042,0.00199800199800199,0.978843626621939,0.7053504233868214,-1.1546094864521113,diff,0.15,0.1644393365065019
band162_1188nm,band162,1188nm,1188,diff,1000,0.16377963372622473,0.001,0.03692815761006352,0.01195378065237009,10.611828994119126,9.99000999000999e-4,1.0384215480297891,0.7613099665633556,-1.148864395210538,diff,0.15,0.16377963372622473
band163_1193nm,band163,1193nm,1193,diff,1000,0.16523032188004436,0.001,0.0367798842800239,0.01216769528342819,10.556677711592895,9.99000999000999e-4,0.9720462475809962,0.6993344277670087,-1.153691129260051,diff,0.15,0.16523032188004436
band164_1198nm,band164,1198nm,1198,diff,1000,0.16778528539812404,0.001,0.03690974835697776,0.01241941751770034,10.537977071357853,9.99000999000999e-4,1.0129464848823384,0.734698807037226,-1.1503505809304946,diff,0.15,0.16778528539812404
band165_1203nm,band165,1203nm,1203,diff,1000,0.1671251641300812,0.001,0.03680736028649833,0.01213879723550616,10.735643846360764,0.00199800199800199,1.0209615175095146,0.7585272705878472,-1.125650173022419,diff,0.15,0.1671251641300812
band166_1208nm,band166,1208nm,1208,diff,1000,0.16883358788931757,0.001,0.03703092274190435,0.01224765541623432,10.761460921958028,0.00299700299700299,1.0435240709020437,0.7951953769350262,-1.0999692759584483,diff,0.15,0.16883358788931757
band167_1213nm,band167,1213nm,1213,diff,1000,0.16615305541048295,0.001,0.03817192336837793,0.01297177605509733,9.86612253391579,0.00199800199800199,1.0118691506383608,0.7761617212938118,-1.0896132494374025,diff,0.15,0.16615305541048295
band168_1218nm,band168,1218nm,1218,diff,1000,0.16937019319500624,0.001,0.03723906863203075,0.01250519883021544,10.566095458131882,9.99000999000999e-4,0.9741677704933512,0.6937952581100126,-1.159992905530541,diff,0.15,0.16937019319500624
band169_1223nm,band169,1223nm,1223,diff,1000,0.168131810673758,0.001,0.03652009139261453,0.01220756264170006,10.781162722161124,0.00299700299700299,1.0124683218937935,0.7742383473701674,-1.0905382226131894,diff,0.15,0.168131810673758
band170_1228nm,band170,1228nm,1228,diff,1000,0.16766505359352502,0.001,0.03717646034981543,0.01264465914294225,10.319660796593563,9.99000999000999e-4,1.0264401791730686,0.7277113311588658,-1.1801041000858972,diff,0.15,0.16766505359352502
band171_1233nm,band171,1233nm,1233,diff,1000,0.16905180532197778,0.001,0.03680751388498679,0.01244530793515499,10.626036103408316,0.00199800199800199,0.9801973526917755,0.740280343786801,-1.0957275229279977,diff,0.15,0.16905180532197778
band172_1238nm,band172,1238nm,1238,diff,1000,0.1688342363168311,0.001,0.03649167734702586,0.01248157294257025,10.603035336870994,0.00199800199800199,1.0182768702166607,0.7495216975836437,-1.13331293361929,diff,0.15,0.1688342363168311
band173_1243nm,band173,1243nm,1243,diff,1000,0.16906708157195258,0.001,0.03655614590494489,0.01207442073443778,10.974517004287389,0.00299700299700299,0.9983250668758183,0.7470563458321755,-1.1100340555706314,diff,0.15,0.16906708157195258
band174_1248nm,band174,1248nm,1248,diff,1000,0.16863718655443655,0.001,0.03711150602993647,0.01284640845464151,10.23832310710771,9.99000999000999e-4,1.009050564688566,0.7300333428509672,-1.151198621767192,diff,0.15,0.16863718655443655
band175_1253nm,band175,1253nm,1253,diff,1000,0.168632190501769,0.001,0.03749638482620687,0.01322670869129921,9.914469936260549,9.99000999000999e-4,0.9718728328400456,0.7198327429019423,-1.1158712218342313,diff,0.15,0.168632190501769
band176_1258nm,band176,1258nm,1258,diff,1000,0.16854419037819482,0.001,0.03662239224292113,0.01197240828233364,11.01881885618084,0.00199800199800199,1.0162525321051907,0.7571300673693158,-1.1196337039848367,diff,0.15,0.16854419037819482
band177_1263nm,band177,1263nm,1263,diff,1000,0.16867667888055762,0.001,0.0374264084724769,0.01343831138984078,9.76687223569655,0.00199800199800199,1.0116875371187384,0.7543464752692542,-1.1175380092248446,diff,0.15,0.16867667888055762
band178_1268nm,band178,1268nm,1268,diff,1000,0.16933034254682316,0.001,0.03669750465934604,0.01283079499124976,10.337070928023476,0.00199800199800199,0.9859657996075722,0.7666344967169139,-1.065221380668314,diff,0.15,0.16933034254682316
band179_1273nm,band179,1273nm,1273,diff,1000,0.16953314291725255,0.001,0.03688106039083322,0.01290113828192138,10.282199882494654,0.00199800199800199,1.0036677859582972,0.7429292560907138,-1.1227645650007818,diff,0.15,0.16953314291725255
band180_1278nm,band180,1278nm,1278,diff,1000,0.1684284383064721,0.001,0.03682519665185439,0.01261311527733416,10.433841185223248,9.99000999000999e-4,1.007059464549219,0.7304912800948828,-1.1480370116585346,diff,0.15,0.1684284383064721
band181_1283nm,band181,1283nm,1283,diff,1000,0.17102021032785217,0.001,0.03636594996798296,0.01262685299644642,10.66411879490202,0.00299700299700299,0.9833237164340256,0.7438082001141246,-1.0920873230243215,diff,0.15,0.17102021032785217
band182_1288nm,band182,1288nm,1288,diff,1000,0.1688008241626358,0.001,0.0373787974942033,0.01297100142974922,10.131987678839796,9.99000999000999e-4,0.9641801777594186,0.7190424940949479,-1.1061646010197483,diff,0.15,0.1688008241626358
band183_1293nm,band183,1293nm,1293,diff,1000,0.16768344881710448,0.001,0.03754752556861324,0.01335854799003571,9.741771586669524,9.99000999000999e-4,0.9678398439129822,0.6810849904387252,-1.17482605890412,diff,0.15,0.16768344881710448
band184_1298nm,band184,1298nm,1298,diff,1000,0.16807897969423502,0.001,0.03671999123761548,0.01242020308957406,10.576235147627065,9.99000999000999e-4,0.962463766982012,0.6516591693729301,-1.219018813242798,diff,0.15,0.16807897969423502
band185_1303nm,band185,1303nm,1303,diff,1000,0.16503718640228485,0.001,0.03641549362313014,0.01260512589631102,10.20391972576781,9.99000999000999e-4,0.9921956434157037,0.7294157824390165,-1.1340013157482975,diff,0.15,0.16503718640228485
band186_1308nm,band186,1308nm,1308,diff,1000,0.16472987241930848,0.001,0.03631566617008296,0.01206083285807212,10.64720884207262,9.99000999000999e-4,1.0045703130922203,0.7214050248288971,-1.1641732615767475,diff,0.15,0.16472987241930848
