Band,nSIM,K_obs,K_pval,K_sim_mean,K_sim_SD,K_sim_SES,K_BM_pval,K_BM_mean,K_BM_SD,K_BM_SES
650,1000,0.09646358823873707,0.01900000000000001,0.0528046710432361,0.017113986757572017,2.551066435539005,9.99000999000999e-4,0.9762588588151452,0.6127301177438967,-1.4358609852831434
660,1000,0.09385673632984616,0.022000000000000013,0.05363079191812183,0.017464920399245264,2.303242356229844,9.99000999000999e-4,0.9860235000424563,0.6973663042504992,-1.2793373558125591
670,1000,0.10075206996877935,0.013000000000000005,0.05381183136383382,0.01731252598765746,2.711345452328009,9.99000999000999e-4,1.0083054165509304,0.6779210337454934,-1.3387301785990413
680,1000,0.10392617386097962,0.016000000000000007,0.054023998214782855,0.018200724307957196,2.7417686682051423,9.99000999000999e-4,0.9854589255106881,0.7322575738552436,-1.2038561062722097
690,1000,0.08510006272627056,0.04900000000000004,0.05323532982527404,0.016592991749142683,1.9203729732851154,9.99000999000999e-4,0.9915316419076283,0.6704453248094361,-1.3519843388258352
700,1000,0.08727871926752442,0.059000000000000045,0.054161500363287145,0.01987328904240039,1.6664186201680296,9.99000999000999e-4,1.0047401131260438,0.7161775766577869,-1.2810529451928268
710,1000,0.08468878204797044,0.04300000000000003,0.052782347220857,0.017062061778565393,1.8700222306776917,9.99000999000999e-4,0.9765634583218237,0.6270389985289025,-1.422359180794627
720,1000,0.07817786779137145,0.05600000000000004,0.052642049816907226,0.014527833903878394,1.7577168174842024,9.99000999000999e-4,0.9954369100005869,0.6952124224513015,-1.3193939184443555
730,1000,0.09074788178948198,0.01900000000000001,0.05180100347444558,0.014553065937407128,2.676197474988933,9.99000999000999e-4,0.9941370429398528,0.7157873555653429,-1.2620915333672755
740,1000,0.10920115517924517,0.004,0.052495323665901254,0.015680132814879583,3.6164127040769194,9.99000999000999e-4,0.9930824696995262,0.6459820626030529,-1.3682753216994725
750,1000,0.11986759997858398,0.001,0.052000413027333284,0.015311552858167947,4.4324169847375705,9.99000999000999e-4,0.9897777125111238,0.6617757968422989,-1.3145088059783474
760,1000,0.1257189210126201,0.003,0.053053419895846915,0.01787198067680608,4.065889642051657,9.99000999000999e-4,0.9693059731885075,0.6128036157107654,-1.3766026024462112
